"Name","Total Time","Total Time (CPU)","Invocations"
"  prompt.command.Command.execute (prompt.util.PathContainer, String, String)","0,325 ms (-0 %)","0,282 ms (-0 %)","9"
"   prompt.CommandPrompt.command (String)","1,0 ms (-0 %)","0,997 ms (-0 %)","9"
"    profiler.profilerTest.exec (String)","0,829 ms (-0 %)","0,832 ms (-0 %)","9"
"     profiler.profilerTest.run ()","16,5 ms (-0 %)","10,6 ms (-0 %)","1"
"      profiler.profilerTest.main (String[])","0,054 ms (-0 %)","0,043 ms (-0 %)","1"
" prompt.command.Command.<init> (prompt.CommandPrompt, String)","0,031 ms (-0 %)","0,030 ms (-0 %)","12"
"  prompt.command.Append.<init> (prompt.CommandPrompt)","0,013 ms (-0 %)","0,013 ms (-0 %)","1"
"   prompt.command.Append.<init> (prompt.CommandPrompt)","0,023 ms (-0 %)","0,021 ms (-0 %)","1"
"    prompt.CommandPrompt.initialize ()","1,95 ms (-0 %)","2,37 ms (-0 %)","1"
"     prompt.CommandPrompt.<init> (file_system_adapter.FileSystemAdapter)","16,2 ms (-0 %)","16,1 ms (-0 %)","1"
"      profiler.profilerTest.run ()","16,5 ms (-0 %)","10,6 ms (-0 %)","1"
"       profiler.profilerTest.main (String[])","0,054 ms (-0 %)","0,043 ms (-0 %)","1"
"  prompt.command.History.<init> (prompt.CommandPrompt)","0,005 ms (-0 %)","0,004 ms (-0 %)","1"
"   prompt.command.History.<init> (prompt.CommandPrompt)","0,052 ms (-0 %)","0,053 ms (-0 %)","1"
"    prompt.CommandPrompt.initialize ()","1,95 ms (-0 %)","2,37 ms (-0 %)","1"
"     prompt.CommandPrompt.<init> (file_system_adapter.FileSystemAdapter)","16,2 ms (-0 %)","16,1 ms (-0 %)","1"
"      profiler.profilerTest.run ()","16,5 ms (-0 %)","10,6 ms (-0 %)","1"
"       profiler.profilerTest.main (String[])","0,054 ms (-0 %)","0,043 ms (-0 %)","1"
"  prompt.command.Mkdir.<init> (prompt.CommandPrompt)","0,002 ms (-0 %)","0,002 ms (-0 %)","1"
"   prompt.command.Mkdir.<init> (prompt.CommandPrompt)","0,021 ms (-0 %)","0,021 ms (-0 %)","1"
"    prompt.CommandPrompt.initialize ()","1,95 ms (-0 %)","2,37 ms (-0 %)","1"
"     prompt.CommandPrompt.<init> (file_system_adapter.FileSystemAdapter)","16,2 ms (-0 %)","16,1 ms (-0 %)","1"
"      profiler.profilerTest.run ()","16,5 ms (-0 %)","10,6 ms (-0 %)","1"
"       profiler.profilerTest.main (String[])","0,054 ms (-0 %)","0,043 ms (-0 %)","1"
"  prompt.command.Pwd.<init> (prompt.CommandPrompt)","0,002 ms (-0 %)","0,002 ms (-0 %)","1"
"   prompt.command.Pwd.<init> (prompt.CommandPrompt)","0,022 ms (-0 %)","0,022 ms (-0 %)","1"
"    prompt.CommandPrompt.initialize ()","1,95 ms (-0 %)","2,37 ms (-0 %)","1"
"     prompt.CommandPrompt.<init> (file_system_adapter.FileSystemAdapter)","16,2 ms (-0 %)","16,1 ms (-0 %)","1"
"      profiler.profilerTest.run ()","16,5 ms (-0 %)","10,6 ms (-0 %)","1"
"       profiler.profilerTest.main (String[])","0,054 ms (-0 %)","0,043 ms (-0 %)","1"
"  prompt.command.Touch.<init> (prompt.CommandPrompt)","0,002 ms (-0 %)","0,002 ms (-0 %)","1"
"   prompt.command.Touch.<init> (prompt.CommandPrompt)","0,016 ms (-0 %)","0,016 ms (-0 %)","1"
"    prompt.CommandPrompt.initialize ()","1,95 ms (-0 %)","2,37 ms (-0 %)","1"
"     prompt.CommandPrompt.<init> (file_system_adapter.FileSystemAdapter)","16,2 ms (-0 %)","16,1 ms (-0 %)","1"
"      profiler.profilerTest.run ()","16,5 ms (-0 %)","10,6 ms (-0 %)","1"
"       profiler.profilerTest.main (String[])","0,054 ms (-0 %)","0,043 ms (-0 %)","1"
"  prompt.command.Cat.<init> (prompt.CommandPrompt)","0,001 ms (-0 %)","0,001 ms (-0 %)","1"
"   prompt.command.Cat.<init> (prompt.CommandPrompt)","0,012 ms (-0 %)","0,012 ms (-0 %)","1"
"    prompt.CommandPrompt.initialize ()","1,95 ms (-0 %)","2,37 ms (-0 %)","1"
"     prompt.CommandPrompt.<init> (file_system_adapter.FileSystemAdapter)","16,2 ms (-0 %)","16,1 ms (-0 %)","1"
"      profiler.profilerTest.run ()","16,5 ms (-0 %)","10,6 ms (-0 %)","1"
"       profiler.profilerTest.main (String[])","0,054 ms (-0 %)","0,043 ms (-0 %)","1"
"  prompt.command.Cd.<init> (prompt.CommandPrompt)","0,001 ms (-0 %)","0,001 ms (-0 %)","1"
"   prompt.command.Cd.<init> (prompt.CommandPrompt)","0,012 ms (-0 %)","0,012 ms (-0 %)","1"
"    prompt.CommandPrompt.initialize ()","1,95 ms (-0 %)","2,37 ms (-0 %)","1"
"     prompt.CommandPrompt.<init> (file_system_adapter.FileSystemAdapter)","16,2 ms (-0 %)","16,1 ms (-0 %)","1"
"      profiler.profilerTest.run ()","16,5 ms (-0 %)","10,6 ms (-0 %)","1"
"       profiler.profilerTest.main (String[])","0,054 ms (-0 %)","0,043 ms (-0 %)","1"
"  prompt.command.Cp.<init> (prompt.CommandPrompt)","0,001 ms (-0 %)","0,001 ms (-0 %)","1"
"   prompt.command.Cp.<init> (prompt.CommandPrompt)","0,012 ms (-0 %)","0,012 ms (-0 %)","1"
"    prompt.CommandPrompt.initialize ()","1,95 ms (-0 %)","2,37 ms (-0 %)","1"
"     prompt.CommandPrompt.<init> (file_system_adapter.FileSystemAdapter)","16,2 ms (-0 %)","16,1 ms (-0 %)","1"
"      profiler.profilerTest.run ()","16,5 ms (-0 %)","10,6 ms (-0 %)","1"
"       profiler.profilerTest.main (String[])","0,054 ms (-0 %)","0,043 ms (-0 %)","1"
"  prompt.command.Ls.<init> (prompt.CommandPrompt)","0,001 ms (-0 %)","0,001 ms (-0 %)","1"
"   prompt.command.Ls.<init> (prompt.CommandPrompt)","0,015 ms (-0 %)","0,015 ms (-0 %)","1"
"    prompt.CommandPrompt.initialize ()","1,95 ms (-0 %)","2,37 ms (-0 %)","1"
"     prompt.CommandPrompt.<init> (file_system_adapter.FileSystemAdapter)","16,2 ms (-0 %)","16,1 ms (-0 %)","1"
"      profiler.profilerTest.run ()","16,5 ms (-0 %)","10,6 ms (-0 %)","1"
"       profiler.profilerTest.main (String[])","0,054 ms (-0 %)","0,043 ms (-0 %)","1"
"  prompt.command.Mkdirs.<init> (prompt.CommandPrompt)","0,001 ms (-0 %)","0,001 ms (-0 %)","1"
"   prompt.command.Mkdirs.<init> (prompt.CommandPrompt)","0,015 ms (-0 %)","0,015 ms (-0 %)","1"
"    prompt.CommandPrompt.initialize ()","1,95 ms (-0 %)","2,37 ms (-0 %)","1"
